Name of the hospital*,Latitude*,Longitude*,District*,Address,PinCode*,Phone Number
Father Muller Medical College Hospital,12.8658081,74.8576634,Dakshina Kannada,Father Muller Medical College Hospital Father Muller Road Kankanady Mangalore 575002,575002,
Unity Hospital Unit Of UCHS,12.8677084,74.8515603,Dakshina Kannada,PO Box 535 Kankanady Falnir Road Mangalore575002,575002,
Yenepoya Specialty Hospital,12.873045,74.8390355,Dakshina Kannada,Yenepoya Specialty Hospital Kodailbail Mangalore 575003,575003,
A J Hospital And Research Centre,12.8993579,74.8438537,Dakshina Kannada,A J Hospital And Research Centre N H 66 Kuntikana Mangalore 575004,575004,
Kanachur Hospital And Research Centre,12.8036154,74.8959323,Dakshina Kannada,Kanachur Hospital And Research Centre University Road Derlakate Mangalore 575018,575018,
Justice Ks Hegde Charitable Hospital,12.8080246,74.8860419,Dakshina Kannada,Justice Ks Hegde Charitable Hospital Medical Science Complex Deralakatte Mangalore 575018,575018,
Yenepoya Medical College Hospital,12.8253479,74.837919,Dakshina Kannada,Yenepoya Medical College Hospital Nithyananda Nagar University Road Deralakatte Mangalore 575018,575018,
Gurushree Hospital,14.4598252,75.9161207,Davanagere,Gurushree Hospital 180 3Rd Main Road8Th CrossP J Extn Davanagere 577002,577002,
Latha Nursing Home,13.6695394,75.63684,Davanagere,2nd main 9th cross PJ Extension,577002,
City Central Hospital Private Limited,14.4601564,75.9165885,Davanagere,No 17 Akkamahadevi Road P J Extension Davangere Davangere 577002,577002,
Aaraike Super Specility Hospital,14.4558975,75.9182786,Davanagere,1683 1 Near Stadium Hadadi Road Davanagere 577002,577002,
Spandana Urology Centre,14.462427,75.9123468,Davanagere,Isiri 663 2 3 8 Th Main Aruna Theatre Road Pj Extension Davanagere 577002,577002,
Suchethana Hospital,14.4591168,75.9155491,Davanagere,Suchethana Hospital P J Extension Davanagere 577002,577002,
Vishwaradhya Cancer Hospital And Reserch Institute,14.4457232,75.904349,Davanagere,Vishwaradhya Cancer Hospital Research Institute 167 A Bada Cross Avaragere Post Davanagere,577003,
Bapuji Hospital Davanagere,14.456135,75.9151673,Davanagere,Pj Extension Davanagere,577004,
Sukshema Hospital,14.4560407,75.9070566,Davanagere,Sukshema Hospital 2629 1A And 1B Mcc B Block Shamanur Road Davangere 577004,577004,
Bapuji Child Health,14.4554731,75.9139277,Davanagere,Bapuji Child Health Institute And Research Centre Bapuji Hospital Road Opd Block Davangere 577004,577004,
Nayana Super Speciality Eye Hospital And Research,14.4556582,75.9125034,Davanagere,1 St Main Mcc B Block Dental And Oral And Maxillofacial SurgeryCollege Road Davanagere,577004,
Ashraya Hospital,14.4569091,75.9065254,Davanagere,Ashraya Hospital 1977 1 2 MCC A Block Shamanur Davanagere 577004,577004,
Kadali Niggamma Memorial Hospital,14.4536083,75.9128555,Davanagere,Kadli ningamma memorial hospital Mcc B Block 2main B Block Davanagere,577004,
Davangere Netralaya,14.4564984,75.9119495,Davanagere,2708 4 5 Mcc B Block Beside Gundi Mahadevappa Choultry Davangere,577004,
Sanjeevini hospital,14.4581665,75.9102551,Davanagere,Sic Sid S Nijalingappa Layout Near Ring Road Davangere 577004,577004,
Ss Narayana Hrudayalaya,14.4319732,75.9390243,Davanagere,S S Narayana Hrudayalaya Ssims Jnanashanakar Post Box No 1 Nh 4 Bypass Davanagere 577005,577005,
S S Institute Of Medical Sciences,14.4823315,75.9198179,Davanagere,S S Institute Of Medical Sciences Jnanashankara Nh 4 Bypass Pb Road Davanagere 577005,577005,
Apoorva Multispeciality hospital,14.4586448,75.9145613,Davanagere,Dargha Road Malebennur,577530,
Vithalinstitute Of Child Health And Speciality Ce,15.4599655,75.0039215,Dharwad,Vithalinstitute Of Child Health And Speciality Centre Opp District Court PB Road Dharwad 580008,580008,
Sdm College Of Medical Sciences And Hospital,15.4177432,75.04713,Dharwad,Sdm College Of Medical Sciences And Hospital Manjushree Nagar Sattur Dharwad 580009,580009,
SDM Narayana Hrudayalaya,15.4187945,75.0447211,Dharwad,Sdm Narayana Hrudayalaya Manjushree Nagar Sattur Dharwad 580005,580009,
Shivakrupa Hospital And Intensive Care Unit Hubli,15.3526815,75.1419366,Dharwad,Shivakrupa Hospital And Intensive Care Unit Hubli ICU Bembalgi Complex Lamington Road Hubli Dharwad 580020,580020,
Ashoka Hospital,15.3606581,75.1277381,Dharwad,Ashoka Hospital Behind Amruth Theatre Vidyanagar Hubli Dharwad 580021,580021,
Nalwad Multispeciality Hospital And Research Centre,15.3391744,75.1224349,Dharwad,Vikas Nagar Hosur Hubli Dharwad 580021,580021,
Vithoba Memorial Hospital Vithoba Netralaya,15.3476249,75.1284871,Dharwad,Vithoba Memorial Hospital Vithoba Netralaya Vikas Nagar Dharwad 580021,580021,
Shri Balaji Institute Of Neuro Sciences And Traum,15.3566627,75.1238673,Dharwad,Shri Balaji Institute Of Neuro Sciences And Traum Behind Hosur Ksrtc Depot Hosur Unkal Road Vidya Nagar Hubli 580021,580021,
Shakuntala Memorial Hospital And Research Centre,15.3530781,75.125213,Dharwad,Shakuntala Memorial Hospital And Research Centre 50 5 Goldentown Hosur Hubli 580021,580021,
M M JOSHI EYE INSTITUTE,15.3535867,75.1285198,Dharwad,PADMA NAYANALAY GOKUL ROAD HOSUR HUBLI,580021,
Karnataka Cancer Therapy And Research Institute,15.3946341,75.0820654,Dharwad,Karnataka Cancer Therapy And Research Institute Navanagar Hubli Dharwad 580025,580025,
Jayapriya Hospital,15.3609268,75.1348029,Dharwad,2 Ashok Nagar Road Bailappanavar Nagar Hubli 580029,580029,
HCG NMR Curie Centre Of Oncology,15.353665,75.136016,Dharwad,Hcg Nmr Curie Centre Of Oncology T B Road Near Revankar Motors Deshpande Nagar Hubli Dharwad 580029,580029,
VIHAAN HEART CARE PVT LTD,15.3540606,75.137642,Dharwad,Above Gokul ICU 3rd Floor Vivekanand General Hospital Deshpande Nagar Hubli 580029,580029,
Disha Superspeciality Eye Hospital Research Centre,15.3541487,75.1382195,Dharwad,Disha Superspeciality Eye Hospital Research Centre 3Rd Floor Vishnupriya Complex Vivekananda Hospital Road Deshapande Nagar Hubli Dharwad 580029,580029,
Vivekanand General Hospital,15.3551621,75.1382117,Dharwad,Vivekanand General Hospital Deshpande Nagar Hubli 580029,580029,
SECURE HOSPITAL,15.3489631,75.1128458,Dharwad,IMZ PLAZA DOLLORS COLONY GOKUL ROAD HUBBALLI,580030,
SUCHIRAYU HEALTH CARE SOLUTIONS HOSPITAL,15.3526453,75.1220763,Dharwad,S No 29 8 9 10 11 JAVALI GARDEN OFF GOKUL ROAD OPP TO REG KSRTC BUS DEPOT,580030,
Tatwadarsha Hospital,15.3561406,75.1157254,Dharwad,Tatwadarsha Hospital M T Sagar Near Shreyanagar Unkal Heggeri Road Opp to KSRTC Depot Gokul Road Hubballi 580030,580030,
SANJEEVINI SPECIALITY HOSPITAL,15.3636687,75.1197763,Dharwad,SHIRUR PARK MAIN ROAD BESIDES CORPORATION BANK PRASHANT COLONY VIDYANAGAR HUBBALI 580031,580031,
Hubli super specialty hospital,15.368416,75.1157078,Dharwad,kalyan nagar bihind hotel hans vidya nagar hubli 31,580031,
L Y Desai Memorial Sparsh Multispeciality Hospital,15.4047896,75.6066995,Gadag,L Y Desai Memorial Sparsh Multispeciality Hospital Mulgund Road Dr S Radhakrishna Nagar Gadag 582101,582101,
Mahatma Gandhi Multi Specility Hospital,15.4218484,75.6329727,Gadag,Mahatma Gandhi Multi Specility Hospital New Bus Stand Road Gadag 582101,582101,
Aashraya Hospital,15.4313112,75.6358963,Gadag,Aashraya Hospital Near Vdst School Tagore Road 1St Cross Gadag 582101,582101,
Dr N B Patil Hospital,15.4215554,75.6214615,Gadag,Dr N B Patil Hospital Near Durga Vihar Lodge Gadag 582101,582101,
Vaatsalya HealthCare Solutions Pvt Ltd,15.4329456,75.64309,Gadag,Vaatsalya Healthcare Solutions Pvt ltd near chetan canteen gadag,582101,
C S I BASEL MISSION HOSPITAL,15.4433474,75.6398073,Gadag,C S I BASEL MISSION HOSPITAL PALA BADAMI ROAD BETGERI GADAG,582102,
Dr Huilgol City Hospital Gadag,15.4324703,75.635845,Gadag,Dr Huilgol City Hospital Hubli Road Gadag 582103,582103,
Shree Anil Kale Memorial Ashirwad Nursing Home,15.5753881,75.7984972,Gadag,Shree Anil Kale Memorial Ashirwad Nursing Home Naregal Ron Gadag 582119,582119,
K H Patil Hospital And Research Institute,15.4290311,75.5252552,Gadag,K H Patil Hospital And Research Institute Hulkoti Post Gadag 582205,582205,
Rajiv Gandhi Education Societys Hospital Ron,15.6880742,75.7334945,Gadag,Rajiv Gandhi Education Societys Hospital Ron Ron Post Ron Tq Ron Dist Gadag 582209,582209,
Smt Savithramma Shanasappa Hospital Research Cen,13.3130117,76.2542655,Hassan,Smt Savithramma Shanasappa Hospital Research Cen Hassan Road Circle Arsiekre Hassan D573103,573103,
Nagesh Hospital,12.9015668,76.386139,Hassan,Nagesh Hospital Mysore Road Channarayapatna 573116,573116,
Janatha Hospital And Research Center,13.0111445,76.1003154,Hassan,Janatha Hospital And Research Center R C Road Hassan 573201,573201,
Janapriya Hospital,13.0041437,76.1046696,Hassan,Opp Ayyappa Sawmi Temple Shanker Mutt Road 2Nd Cross K R Puram Hassan,573201,
Vaatsalya Hospital,13.0094264,76.1004678,Hassan,Vaatsalya Hospital Bharathi Health Care Complex Opp Sandal Kote R C Road Hassan 573201,573201,
Mani Super Speciality Hospital And Research Instit,13.0064982,76.1049798,Hassan,Mani Super Speciality Hospital And Research Instit Sampige Road K R Puram Hassan 573201,573201,
Mangala Hospital,13.0047665,76.1054543,Hassan,Mangala Hospital Sampige Road K R Puram 573201,573201,
Hemavathi Hospital,13.0104795,76.0948764,Hassan,Northeen Extension Hassan,573201,
SSM Hospital,13.0053287,76.1041926,Hassan,Ssm Hospital Shankar Mutt Road KR Puram Hassan 573201,573201,
Janapriya Indiana Heart Lifeline,13.004217,76.1046019,Hassan,Janapriya Indiana Heart Lifeline 4Th Floor Janapriya Hospital Shankar Mutt Road 2Nd Cross Opp To Ayyappaswamy Temple Hassan 573201,573201,
Manjunatha Hospital,12.9766492,76.2897217,Hassan,Shankarmutt Road Opposite SRS School KR Puram Hassan 573201,573201,
Malladad Rudramma Memorial Hospital,14.7879254,75.3953905,Haveri,Malladad Rudramma Memorial Hospital Near Bus Stand Haveri 581110,581110,
Renuka Eye Hospital,14.7884049,75.3935495,Haveri,Renuka Eye Hospital 1 St Cross Ashwini Nagar Haveri 581110,581110,
Veerapur Multi Speciality Hospital,14.7867463,75.402405,Haveri,Veerapur Multi Speciality Hospital Guttal Road Haveri 581110,581110,
Sri Kantesh Hospital And Orthopedic Truma Care Centre,14.7944391,75.3938578,Haveri,No 1 B 1St Cross Rajendr Nagara P B Road Haveri 581110,581110,
Parvathamma Mahadevagouda Heggeri Hospital,14.7917952,75.3935109,Haveri,Sri Sai Plaza Beside New Dist Court P B Road Haveri 581110,581110,
Sri Sooryanarayana Hospital,14.7880212,75.3943273,Haveri,Ashwini Nagar 1St Main 1St Cross Haveri 581110,581110,
Shushroosha Drgvpandit Memorial Hospital,14.7882141,75.3991527,Haveri,Opp Ksrtc Bus Stand P B Road Haveri 581110,581110,
Shivakrupa Hospital Ranebennur,14.6109959,75.6371489,Haveri,Shivakrupa Hospital Ranebennur Dr Goudappagoudar Complex Mruthanjaya Nagar P B Road Ranebennur 581115,581115,
Sri Nandi Hospital,14.6133863,75.6313312,Haveri,Sri Nandi Hospital Behind Rajarajeswari College Rajarajeswari Nagar Ranebennur 581115,581115,
Om Hospital,14.617149,75.633019,Haveri,Medleri Road Ashok Nagar 3Rd Cross Ranebennur Haveri 581115,581115,
Sri Sai Speciality Hospital,14.6131505,75.6346444,Haveri,Near KEB Vinayak Nagar P B road Ranebennur Haveri 581115,581115,
Sri Laxmi Surgical Trauma Ortho And Multispeciality Hospital,14.6139401,75.6355838,Haveri,Sri Laxmi Surgical Trauma Ortho And Multispecilitvinayaka Nagar 3Rd Cross Ranebennur Dt Haverihaveri 581115,581115,
Shakunthala Hospital,14.6139376,75.6228331,Haveri,First Cross First Main Maruti Nagar Ranebennur Haveri 581115,581115,
Shakuntala hospital,14.6179801,75.6161473,Haveri,Maruti Nagar Ranebennur,581115,
Kelagar Medical Center,14.613958,75.6352341,Haveri,Vinayaka Nagar Ranebennur Haveri 581115,581115,
Patil Maternity And Children Hospital,14.6191841,75.6338146,Haveri,Patil Maternity And Children Hospital Near B K Guptha High School Hosa Nagar Ranebennur,581115,
Mruthyunjaya Nursing Home,14.7197416,74.8535083,Haveri,Mruthyunjaya Nursing Home Jayanaga Shiggon Haveri 581205,581205,
J R Nursing Home,14.9905288,75.2252813,Haveri,Near Guru Bhavan Navanagar Shiggaon Haveri 581205,581205,
Chirayu Hospital,17.3233494,76.8274844,Kalaburagi,Chirayu Hospital 1 20 Hindustani Covenant Church Campus Gescom Court Road Gulbarga Gulbarga 585101,585101,
Medicare Multispeciality Hospital,17.3372725,76.8418432,Kalaburagi,Darga Road Kalaburagi 585101,585101,
Gulbarga Heart Foundation,17.3332876,76.838461,Kalaburagi,Gulbarga Heart Foundation Stbt Cross Near Bigbazaar Jagat Circle Gulbarga 585101,585101,
Dr Patils Ent Clinic Speech And Hearing Centre,17.3249452,76.8242998,Kalaburagi,Dr Patils Ent Clinic Speech And Hearing Centre No 1 29 36 Geeta Behind District Court Gulbarga 585102,585102,
Netrajyothi Eye Hospital,17.3211409,76.8242416,Kalaburagi,H No 1 39 1 Gangotri Opposite District Court Station Road Gulbarga 585102,585102,
Shree Basavalingappa Nisty Memorial Heart Centre,17.3239062,76.8311364,Kalaburagi,Basalingappa Nisty Hospital No 15 and 16 Lahoti Enclave Aiwan E Shahi Road Gulbarga 585102,585102,
Patil Nursing Home,17.3195703,76.8227784,Kalaburagi,Patil Nursing Home Bus Stand Road Behind Nagarjun Hotel Venkatesh Nagar Gulbarga 585102,585102,
Sidrameshwar Eye Clinic,17.3275807,76.8157772,Kalaburagi,Sidrameshwar Eye Clinic Mig 1 Khb Colony Shanti Nagar Msk Mill Road Kalburgi 585102,585102,
Raj Laxmi Kidney Hospital,17.3177642,76.8214166,Kalaburagi,Raj Laxmi Kidney Hospital Old Jewargi Road Kalaburagi 585102,585102,
United Hospital,17.32525,76.8232639,Kalaburagi,United Hospital 1 43 A Opp Siddharth Law College Svp Chowk To S B Temple Road Gulbarga 585102,585102,
HCG Cancer Centre Gulbarga,17.3266055,76.8261376,Kalaburagi,Hcg Cancer Centre Gulbarga No 1 1 A Khuba Plot Station Road Gulbarga 585102,585102,
Bhoruka Netralaya,17.2780473,76.8311658,Kalaburagi,Bhoruka Netralaya Behind Akashvani Kesaratagi Road Gulbarga 585102,585102,
Khaja Banda Nawaz Teaching And General Hopital,17.3260521,76.8316264,Kalaburagi,Kbn Hospital Khaja Nagari Station Road Gulbarga 585102,585102,
Kamal Eye Hospital,17.3335998,76.826782,Kalaburagi,Kamal Eye Hospital Sharan Nagar Bramphur Behind Girish Scanning Centre Gulbarga 585103,585103,
Chirannjevi Hospital,17.3319629,76.8276296,Kalaburagi,Sharan Nagar N V School To Garden Road Kalburgi 585103,585103,
Devatha hospital,15.1307045,74.6759232,Kalaburagi,Near Eshwar temple Khuba plots Kalaburagi 585103,585103,
Kamareddy Hospital,17.3223998,76.8210029,Kalaburagi,Kamareddy Ortho Trauma Care Hospital Plot No 9 Vasanth Nagar Gulbarga 585103,585103,
Jeevan Care Maternity And General Hospital,17.3481091,76.8582063,Kalaburagi,Jeevan Care Maternity And General Hospital Opp Star Function Hall Hagarga Cross Ring Road Gulbarga 585104,585104,
Shri Shivshankrappa Nandyal Eye Care Center,17.3521107,76.8408528,Kalaburagi,Shri Shivshankrappa Nandyal Eye Care Center 71184 103 Opp Gunj Bus Stand Near Ambabhavani Temple Gunj Colony Gulbarga 585104,585104,
Bahmani Hospital,17.3409095,76.8422104,Kalaburagi,Bahmani Hospital Hafth Gumbad Darga Road Gulbarga Gulbarga 585104,585104,
Satya Uro Care And Multi Speciality Hospital,17.3228495,76.8257373,Kalaburagi,Satya Hospital Sharada Residency Opp Forest Office Bhinde Mini Vidhan Soudha Sb Temple Road Gulbarga 585104,585104,
Mother Theresa Charitable Hospital Trust,17.3986049,76.8625161,Kalaburagi,Mother Theresa Charitable Hospital Trust Uploan Kapnoor Post Humnabad Road Kalaburagi 585104,585104,
Tippusultan Maternity and General Hospital,17.3585506,76.8524909,Kalaburagi,Tippusultan Maternity and General Hospital Millat Nagar Ring Road Gulbarga 585104,585104,
Girish Kidney Foundation And Multispeciality Hospi,17.3261174,76.856017,Kalaburagi,Taher Mohiuddin Building Opposite Jayanagar Bus Stop Sedam Road Swastik Nagar,585105,
Basaveshwar Teaching And General Hospital,17.3257916,76.8514841,Kalaburagi,Sedam Road Gulbarga 585105,585105,
SHREYA HOSPITAL,13.1370912,78.1342557,Kolar,2ND MAIN ROAD FORT KOLAR KARNATAKA,563101,
New Kolar Nursing Home,13.1360041,78.1257541,Kolar,New Kolar Nursing Home 2Nd Cross Kuvempu Nagar Behind Narayani Theatre Near Ksrtc Bus Stand Kolar 563101,563101,
Surya Eye And Skin Care Hospital,13.1367233,78.1340609,Kolar,36 D K Halli Plantation Beml Nagar Kolar Gold Feilds,563101,
R L Jalappa Narayana Hrudayalaya Heart Centre,13.1325738,78.1704547,Kolar,R L Jalappa Narayana Hrudayalaya Heart Centre Tamaka Kolar 563101,563101,
R L Jalappa Hospital And Research Centre,13.1325725,78.1708286,Kolar,R L Jalappa Hospital And Research Centre Nh 75 Tamaka Kolar 563103,563103,
Sambhram Institute of Medical Science and Research,13.0030883,78.2347986,Kolar,36 D K Halli Plantation Beml Nagar Kolar Gold Feilds,563115,
Sanjana Hospital,13.003151,77.9376843,Kolar,Sanjana Hospital Maruthi Extention Malur Kolar 563130,563130,
Poornima Hospital And Maternity Centre,13.2070762,78.359273,Kolar,Poornima Hospital And Maternity Centre Near Govt Bus Stand Mulbagal 563131,563131,
Maruthi Eye And Dental Hospital Gangavathi,15.4337083,76.526505,Koppal,Maruthi Eye And Dental Hospital Gangavathi Oppose To Sandeep Theatre Osb Road Gangavathi Koppal 583227,583227,
Shree Mallikarjuna Multi Speciality Hospital,14.6975341,75.2191413,Koppal,Near Lakshmi Temple Julai Nagar Kampli Road,583227,
Tejeswini Childran Hospital,15.3907836,76.1963311,Koppal,Vinayaka nagar Kanakagiri Road Gangavati,583227,
Amar Hospital Child Care Clinic,12.9560933,77.5921445,Koppal,July Nagar Bus Stand Road Gangavathi,583227,
Yashodha hospital,12.9560933,77.5921445,Koppal,busstand road gangavathi,583227,
Lions Club Charitable Trust Koppal,15.3528851,76.1498168,Koppal,Abhay Kumar Mehta Opp Sp Office Koppal 583230,583230,
KS Health Care,15.3499198,76.1642157,Koppal,16 21MB Diwatar nagarb Hospet Road Koppal,583231,
Vaatsalya Hospital,14.1505142,75.7519904,Koppal,Near old DC circle Shivashanth Nagar Hospet road Koppal,583231,
Dr Subhas Kakhandki Eye Hospital,15.3519599,76.15102,Koppal,Dr Subhas Kakhandki Eye Hospital 1St Floor Of Hero Honda Showroom Opp Idfc Bank Near Bharath Gas Office Koppal Road Kushtagi 583277,583277,
Viveka Shrinivas Eye Hospital Hanamasagar,15.3517529,76.1527151,Koppal,Ambasa Rayabagi Viveka Shrinivas Eye Hospital Opp Apmc Yard Hanamsagar Koppal 583281,583281,
Trinetra Eye Hospital,12.5252584,76.8960058,Mandya,Trinetra Eye Hospital 1212 1 3Rd Cross Ashoka Nagar mandya 571401,571401,
Archana Hospital,12.5243083,76.8951973,Mandya,Archana Hospital K R Road Ashok Nagar Mandya 571401,571401,
Belaku Eye Hospital,12.5259479,76.8963491,Mandya,1186 2nd cross Ashok nagar Mandya,571401,
Mandya Ent Care Centre And Hospital,12.5216134,76.8969506,Mandya,Mandya Ent Care Centre And Hospital Varun Building G H Road 100Ft Junction Ashok Nagar Mandya Mandya 571401,571401,
G Madegowda Super Speciality Hospital,13.3341275,74.7070862,Mandya,No1889 Bet Complex Maddur Malavalli Main Road Bharathinagara K M Doddi Maddur Mandya,571422,
Sri Lakshmi Venkatesh Nursing Home,12.7741917,76.9660762,Mandya,Sri Lakshmi Venkatesh Nursing Home BM Road Nagamangala Mandya 571432,571432,
Sri Adichunchanagiri Hospital And Research Center,12.9661218,76.7188489,Mandya,Sri Adichunchanagiri Hospital And Research Center B G Nagara Nagamangala Tq Mandya Dist 571448,571448,
DRM Multi Speciality Hospital,12.3248465,76.6297902,Mysuru,2909Temple Road Vontikopal V Mohalla Mysore,570002,
Jagadguru Sri Shivarathreeshwara Hospital,12.3203534,76.6456531,Mysuru,Jagadguru Sri Shivarathreeshwara Hospital Mahatma Gandhi Road Agrahara Circle Mysore 570004,570004,
Vasan Eye Care Hospital,12.6332495,76.9162891,Mysuru,Vasan Eye Care Hospital vasan Eye Care Hospital 966 2 Jlb Road Lakshmipuram Mysore 570004,570004,
Nandhana Super Speciality Eye care Pvt Ltd,12.3003376,76.6415177,Mysuru,446 New No 38 J L B Road Next to Big Bazar Mysuru,570005,
Sigma Hospital,12.3003277,76.6217456,Mysuru,Sigma Hospital P8D Saraswathipuram Thonachikoppal Road Saraswathipuram Mysore570009,570009,
Shree Mahadeshwara Nursing Home,12.3069038,76.6823431,Mysuru,Shree Mahadeshwara Nursing Home Buddha Marga Mysore Bannur Main Road Siddartha Nagar Mysore 570011,570011,
Shubhodaya Hospital,12.3133463,76.6899781,Mysuru,Shubhodaya Hospital 26 Dr Rajkumar Road Sri Siddivinayaka Block Teachers Layout Mysore 570011,570011,
Brindavan Hospital,12.3233395,76.6248871,Mysuru,Brindavan Hospital No 64 64 1 3Rd Cross Jayalakshmipuram Mysore 570012,570012,
Nagaraje Gowda Memorial Hospital Phc,12.3409917,76.6360781,Mysuru,No45 46 Near Lions School Hudco Bannimantap Opp To Loyal World Mysore,570015,
St Josephs Hospital,12.341364,76.6527247,Mysuru,St Josephs Hospital 176 Bangalore Mysore Road Bannimantap Myosre 15 Mysore 570015,570015,
Bibi Ayesha Milli Hospital,12.3369596,76.648746,Mysuru,Bibi Ayesha Milli Hospital 242 Old Mysore Bangalore Road Subhashnagar Mysore 570015,570015,
Supriya Hospital,12.3336712,76.5972846,Mysuru,728New Street Hinkal Mysuru 17,570017,
Bharath Hospital Institute Of Oncology,12.3528857,76.6060472,Mysuru,Bharath Hospital Institute Of Oncology 438 Outer Ring Road Hebbal Mysore 570017,570017,
Clearmedi Radiant Hospital,12.3218026,76.6069861,Mysuru,Clearmedi Radiant Hospital 2 C 1 A 1 Block Vijayanagar 3 Rd Stage Mysore 570017,570017,
Pralaksha Hospital,12.314,76.6507,Mysuru,Praalaksha Hospital 275 1 Veda Arcade Hunsur main road Hootgally Mysore,570018,
Narayana Hrudayalaya Surgical Hospital Pvt Ltd,12.3452514,76.6708549,Mysuru,Narayana Hrudayalaya Surgical Hospital Pvt Ltd Cah 1 3Rd Stage Devanuru Mysore 570019,570019,
Annapoorna eye Hospital,12.2955562,76.6125223,Mysuru,199 Sai padam New Kantharaj urs Road Sharadha devi nagara Mysore,570022,
Suyog Hospital unit of Arogya yoga samsthe,12.2823004,76.6179523,Mysuru,P2 E F Block Dakshineshwara Road Ramakrishnanagar Mysore 570022,570022,
Sindhu Eye Hospital,12.2956028,76.5972013,Mysuru,6 Block 1 Madhuvana Layout Srirampura 2nd Stage Mysore 570023,570023,
Bhanavi Hospital,12.2927277,76.6249313,Mysuru,P2 Jcst Anikethana Raod Kuvempunagar Mysore 570023,570023,
Apollo BGS Hospital,12.2956324,76.6298103,Mysuru,Apollo BGS Hospital Kuvempunagar Mysore 570023,570023,
Vidyaranya Hospital Pvt Limited,12.2887493,76.6474077,Mysuru,Vidyaranya Hospital Pvt Limited 2876 4Th Cross Opp Gtr Narayana Shastry Road Chamundipuram Mysore 570024,570024,
Amritakripa Charitable Hospital,12.2924227,76.580628,Mysuru,Amritakripa Charitable Hospital Opp 22Nd Cross Roopanagar Mysore 570026,570026,
Nirmala Hospital,12.2989905,76.6953977,Mysuru,Nirmala Hospital 2 Giridarshini Layout Alanahalli Mysore 570028,570028,
Sompura Basappa Hospital,12.3041511,76.6993264,Mysuru,Sompura Basappa Hospital Bannur Main Road Alanahalli Post Mysore 570028,570028,
Cauvery Hospital,12.3050952,76.6936261,Mysuru,Cauvery Hospital Teresian College Circle Siddartha Nagar Mysore 570011,570029,
Vivekananda Memorial Hospital,11.9895164,76.3932812,Mysuru,Hanchipura Road Saraguru Mysore 571121,571121,
Nanjamma Javaregowdas Hospital,12.3174661,76.5592716,Mysuru,Aloka Palace Road Yelwala Bypass Road Yelwala Mysore 571130,571130,
Krishna Hospital,12.1165377,76.6749854,Mysuru,Krishna Hospital 18Th Cross R P Road Nanjangud 571301,571301,
MK Bhandari Hospital,16.2238122,77.3498232,Raichur,Opp Goushala Gunj Road,584101,
Hosamani Hospital,16.1874951,77.3442374,Raichur,Near Mother Trust School Ib Road Raichur 584101,584101,
Navodaya Medical College Hospital Raichur,16.1856276,77.3650658,Raichur,Navodaya Nagar Mantralaya Road Raichur,584103,
Shri Renuka Multi Specialty Hospital,15.7687654,76.7510358,Raichur,Opp Bus Stand Adarsha Colony,584128,
Shanti Hospital,15.7747172,76.7481983,Raichur,Shanti Hospital Opp Sbi Bank Kushtagi Road Raichur 584128,584128,
Dr Chandramma Dayanad Sagar Institute of Medical Education,12.7102063,77.2223632,Ramanagara,Devarakaggalahalli Opp harohalli Industrial Area Kanakapura main road,562112,
Belaku Eye Hospital,12.7234477,77.2727398,Ramanagara,Belaku Eye Hospital No 20301 Bm Road Ramanagar 562159,562159,
Mallikarjuna Nursing Home,13.9363216,75.5667831,Shivamogga,Hotel Jewel Rock Road Durgigudi Shimoga,577201,
Maax Super Speciality Hospital,13.9381142,75.5694715,Shivamogga,Maax Super Speciality Hospital R M R Road Park Extension Durgigudi Shimoga 577201,577201,
Malnad Ent Institute Research Centre,13.9416485,75.5730129,Shivamogga,Malnad Ent Institute Research Centre 1St Cross Behind Metro Hospital Shimoga 577201,577201,
Sarji Hospital,13.9378419,75.5697799,Shivamogga,Plot No 11 Ward 21 Rmr Road Park Extension Shimoga 577201,577201,
Sagar Nursing Home and Laser Center,13.9389948,75.5678962,Shivamogga,Sagar Nursing Home and Laser Center 1st Cross Achutharao Layout Near Jailcircal Shimoga 577201,577201,
Kottureshwara Hospital,13.9402641,75.5596025,Shivamogga,6th Ward 100 Ft Road Vinayaka Nagara Shivamogga 577201,577201,
Subbaiah Hospital,13.9373373,75.5604792,Shivamogga,Subbaiah Hospital Complex SR Road Shimoga 577201,577201,
Unity Center For Advanced Pediatric Care,13.9372287,75.5634242,Shivamogga,Kuvempu Road Sharavathi Nagar Shimoga,577201,
Metrounited Healthcare,13.9403696,75.5728148,Shivamogga,Shivamurthy Circle Savalanga Road Shimogga,577201,
Sri Basaveshwara Hospital,13.9378678,75.5632138,Shivamogga,Sri Basaveshwara Hospital Opp Sri Raghavendra Swamy Mutt 1St Cross Tilak Nagar Shimoga 577201,577201,
Ravi Polyclinic Maternity And Nursing Home,13.9349139,75.5682896,Shivamogga,Ravi Polyclinic Maternity And Nursing Home L L R Road Durgigudi Shivamogga 577201,577201,
Sindhu Urology Hospital,13.9351831,75.5584125,Shivamogga,R M R road Durgigudi Above syndicate Bank,577202,
Skkmt Sankara Eye Hospital,13.903747,75.5585959,Shivamogga,Skkmt Sankara Eye Hospital Harakere Thirthahalli Road Shimoga 577202,577202,
Sahyadri Narayana Hrudayalaya,13.9007317,75.5561774,Shivamogga,Sahyadri Narayana Hrudayalaya New Thirthahalli Road Harakere Shimoga 577202,577202,
